,day_of_week,start_hour,start_station_id,start_station_longitude,start_station_latitude,ride_start_date
358,Sun,12,195,-74.01043382,40.70905623,2013-09-22
359,Wed,19,534,-74.0127234,40.70255065,2013-09-25
360,Sat,16,392,-73.987167,40.695065,2013-09-14
361,Tue,9,438,-73.98564945,40.72779126,2013-09-17
362,Sat,11,457,-73.98169333,40.76695317,2013-09-21
363,Thu,23,317,-73.98185424,40.72453734,2013-09-05
364,Wed,21,347,-74.00748842,40.72873888,2013-09-11
365,Fri,18,168,-73.99456405,40.73971301,2013-09-13
366,Wed,10,509,-74.00197139,40.7454973,2013-09-04
367,Thu,9,360,-74.00887308,40.70717936,2013-09-26
368,Fri,12,459,-74.007756,40.746745,2013-09-27
369,Sat,23,79,-74.00666661,40.71911552,2013-09-28
370,Tue,20,487,-73.97573881,40.73314259,2013-09-03
371,Fri,6,521,-73.99481051,40.75044999,2013-09-13
372,Tue,19,502,-73.981346,40.714215,2013-09-17
373,Wed,19,150,-73.98085795,40.7208736,2013-09-04
374,Mon,17,379,-73.9916,40.749156,2013-09-23
375,Tue,9,498,-73.98808416,40.74854862,2013-09-03
376,Mon,9,434,-74.00366443,40.74317449,2013-09-16
377,Sat,15,401,-73.98997825,40.72019576,2013-09-28
378,Mon,19,444,-73.98915076,40.7423543,2013-09-02
379,Tue,16,426,-74.01322069,40.71754834,2013-09-10
380,Mon,19,195,-74.01043382,40.70905623,2013-09-16
381,Thu,19,224,-74.00552427,40.71146364,2013-09-19
382,Mon,17,167,-73.97604882,40.7489006,2013-09-09
383,Sat,12,382,-73.99200509,40.73492695,2013-09-14
384,Thu,16,537,-73.98409214,40.74025878,2013-09-12
385,Sun,11,223,-73.99994661,40.73781509,2013-09-29
386,Thu,13,347,-74.00748842,40.72873888,2013-09-05
387,Tue,19,336,-73.99906065,40.73047747,2013-09-03
388,Sun,20,147,-74.01121978,40.71542197,2013-09-29
389,Sat,20,127,-74.00674436,40.73172428,2013-09-14
390,Thu,17,503,-73.98751968,40.73827428,2013-09-12
391,Fri,18,367,-73.97069431,40.75828065,2013-09-06
392,Tue,11,326,-73.98426726,40.72953837,2013-09-03
393,Sat,2,293,-73.9907647,40.73028666,2013-09-21
